trigger_type,priority,定義,含める,含めない
実行提案,1,合意済みの方向性に対して、参加者が実行可能な選択肢や具体策を提案する。手続きや具体的なやり方、次の一歩の提示を含む。質問形式でも可。,やってみませんか、いかがですか、まずは、具体的に、手順、頻度、量、場所、道具、代替案、スモールステップ化、難易度を下げる提案,回答しやすくするためだけの例示、単なる質問、単なる雑談、単なる称賛
根拠提示,1,合意や動機づけまでの段階で、参加者の状況や外部データを根拠に、一般的または専門的基準に照合した情報を提示する。,歩数等の計測値を根拠にした説明、一般的な基準や理由づけ、リスクや注意点の根拠説明,実行提案に付随する軽い理由づけは原則として根拠提示に数えない。質問のみ。単なる繰り返し。
リフレーミング,1,参加者の経験や自己評価の意味づけを別の見方で再構成し、価値や強みに接続する。,内気だったという自己評価を行動的だったと捉え直す、失敗を学びに置き換える等,単なる共感、単なる承認、事実の言い換えのみ
行動継続後押し,2,すでに実施中の行動を継続しやすくする意図のコメント。,この調子で続けましょう、無理なく続けられている、継続の促し,実行提案の一部としての締め、単なる承認
承認,3,参加者の発話や取り組みへの受容的反応。相手のコメントを受けた返答として現れる。,ありがとうございます、素晴らしいですね等で参加者の内容に反応,挨拶のみ、単なる状況確認の質問のみ、文脈のない称賛
ラポール形成,3,親密度や安心感を高める意図の気遣い、見守り、季節の挨拶等。,体調を気遣う、季節の変わり目の配慮、見守りの言及,実行提案や根拠提示が主で付随する気遣いは原則として数えない
情報収集,3,状況確認の質問のみで、他のトリガーが伴わないもの。除外や層分けのためのラベル。,どのくらい、どうでしたか等の単独質問,実行提案を含む質問、根拠提示を含む質問、リフレーミングを含む質問
運用案内,3,システム運用や手続きの案内、障害対応、謝罪等。スコープ外として扱うことが多い。,不具合、再認証、設定、送付、対応中、申し訳ない等,参加者行動の実行提案
スタンプ等,4,スタンプ、絵文字のみ、定型の短文など分析対象外のもの。,スタンプのみ、写真送信のみ等,意味のある文章を含む
